asn,count,cone,name
16839,29,0,"SERVICENOW, INC."
54113,27,54,"Fastly, Inc."
13445,27,4,Cisco Webex LLC
45102,27,2,"Alibaba (US) Technology Co., Ltd."
714,27,1,Apple Inc.
20940,26,267,Akamai International B.V.
55256,25,29,Netskope Inc
2906,24,2,Netflix Streaming Services Inc.
30103,24,1,"Zoom Video Communications, Inc"
53766,24,1,Arista VeloCloud
19679,24,0,"Dropbox, Inc."
15695,23,21,Expereo International BV
10122,23,20,NETSTAR (SG) PTE. LTD.
23344,23,1,"Disney Worldwide Services, Inc."
12222,23,1,"Akamai Technologies, Inc."
32590,23,0,Valve Corporation
200596,23,0,Adyen N.V.
15169,22,25,Google LLC
8075,22,10,Microsoft Corporation
1547,22,5,Interdnestrcom SZAO
57976,22,1,"Blizzard Entertainment, Inc"
10361,22,0,"Bloomberg, LP"
31898,21,82,Oracle Cloud
398465,21,27,Rackdog LLC
13150,21,22,CATO NETWORKS LTD
33353,21,9,Sony Interactive Entertainment LLC
32934,21,5,"Facebook, Inc."
132203,21,2,Tencent
35928,21,1,"BECKMAN COULTER, INC."
23576,21,1,NAVER Cloud Corp.
7473,20,284,Singapore Telecommunications Ltd
24429,20,247,Alibaba Cloud
16509,20,175,"Amazon.com, Inc."
6774,20,56,BICS (Belgacom)
7342,20,48,VeriSign Infrastructure & Operations
42,20,26,"WoodyNet, Inc."
36351,20,12,IBM Cloud
36692,20,3,"Cisco OpenDNS, LLC"
6507,20,2,"Riot Games, Inc"
44444,20,1,Forcepoint UK Limited
39063,20,1,Leitwert GmbH
53813,20,1,"ZSCALER, INC."
23764,19,884,China Telecom Global
2497,19,464,Internet Initiative Japan Inc.
24875,19,51,NovoServe B.V.
14593,19,49,SpaceX Starlink
16552,19,3,Tiggee LLC
22697,19,2,Roblox
48237,19,1,"Etihad Etisalat, a joint stock company"
14630,19,0,"Invesco Group Services, Inc."
60068,18,738,Datacamp Limited (CDN77 / DataPacket)
8529,18,89,Zain Omantel International FZ-LLC
5400,18,64,British Telecommunications (International) 
45430,18,57,SBN-IIG/AWN-IIG transit provider
24940,18,38,Hetzner Online GmbH
396986,18,23,"Bytedance, Inc. (TikTok)"
38040,18,20,TOT Public Company Limited
45489,18,14,Sri Lanka Telecom PLC
3300,18,14,British Telecommunications Limited
11019,18,10,"HAProxy Technologies, Inc."
3360,18,6,DXC US Latin America Corporation
62044,18,1,Zscaler Switzerland GmbH
54201,18,0,We Link Networks LLC
11179,18,0,"Aryaka Networks, Inc."
3303,17,8966,Swisscom (Schweiz) AG
54994,17,295,Meteverse Limited
139341,17,277,WeChat/QQ CDN
2516,17,262,KDDI Corporation
702,17,184,Verizon Business - EMEA
57344,17,178,Telehouse EAD
4788,17,152,TM Technology Services Sdn. Bhd.
