collector,prefix,as_path,total_hops,protected_hops,fraction_protected
rrc00,92.126.240.0/20,"49673 12389",1,1,1.0000
rrc00,78.132.192.0/20,"49673 12389",1,1,1.0000
rrc00,92.126.128.0/20,"49673 12389",1,1,1.0000
rrc00,2.60.112.0/20,"49673 12389",1,1,1.0000
rrc00,78.132.176.0/20,"49673 12389",1,1,1.0000
rrc00,90.150.240.0/20,"49673 12389",1,1,1.0000
rrc00,92.125.128.0/20,"49673 12389",1,1,1.0000
rrc00,213.210.64.0/19,"49673 12389",1,1,1.0000
rrc00,2.60.96.0/20,"49673 12389",1,1,1.0000
rrc00,31.132.240.0/20,"49673 20485",1,1,1.0000
rrc00,78.110.128.0/20,"204092 34019 3303",2,2,1.0000
rrc00,89.190.224.0/20,"49673 12389",1,1,1.0000
rrc00,90.150.224.0/20,"49673 12389",1,1,1.0000
rrc00,90.151.192.0/20,"49673 12389",1,1,1.0000
rrc00,92.125.48.0/20,"49673 12389",1,1,1.0000
rrc00,213.167.192.0/19,"49673 12389",1,1,1.0000
rrc00,213.200.224.0/19,"204092 34019 3303",2,2,1.0000
rrc00,178.34.64.0/19,"49673 12389",1,1,1.0000
rrc00,217.150.32.0/19,"49673 20485",1,1,1.0000
rrc00,31.47.144.0/20,"49673 12389",1,1,1.0000
rrc00,179.236.160.0/19,"4608 1221 4637",2,2,1.0000
rrc00,46.41.112.0/20,"49673 12389",1,1,1.0000
rrc00,78.81.176.0/20,"49673 12389",1,1,1.0000
rrc00,87.103.144.0/20,"49673 12389",1,1,1.0000
rrc00,89.20.112.0/20,"49673 12389",1,1,1.0000
rrc00,89.248.112.0/20,"49673 12389",1,1,1.0000
rrc00,90.150.208.0/20,"49673 12389",1,1,1.0000
rrc00,90.151.176.0/20,"49673 12389",1,1,1.0000
rrc00,203.1.32.0/19,"4608 7575",1,1,1.0000
rrc00,92.124.240.0/20,"49673 12389",1,1,1.0000
rrc00,212.220.192.0/19,"49673 12389",1,1,1.0000
rrc00,167.130.32.0/19,"4608 4826",1,1,1.0000
rrc00,193.82.128.0/19,"4608 1221 4637",2,2,1.0000
rrc00,213.200.192.0/19,"204092 34019 3303",2,2,1.0000
rrc00,213.3.0.0/16,"204092 34019 3303",2,2,1.0000
rrc00,178.185.0.0/17,"49673 12389",1,1,1.0000
rrc00,176.211.192.0/19,"49673 12389",1,1,1.0000
rrc00,178.45.32.0/19,"49673 12389",1,1,1.0000
rrc00,217.116.128.0/19,"49673 12389",1,1,1.0000
rrc00,31.47.128.0/20,"49673 12389",1,1,1.0000
rrc00,178.67.192.0/19,"49673 12389",1,1,1.0000
rrc00,178.68.32.0/19,"49673 12389",1,1,1.0000
rrc00,178.174.64.0/19,"204092 34019 3303",2,2,1.0000
rrc00,188.17.160.0/19,"49673 12389",1,1,1.0000
rrc00,46.41.96.0/20,"49673 12389",1,1,1.0000
rrc00,77.82.224.0/20,"49673 12389",1,1,1.0000
rrc00,78.81.160.0/20,"49673 12389",1,1,1.0000
rrc00,85.113.208.0/20,"49673 12389",1,1,1.0000
rrc00,86.102.32.0/20,"49673 12389",1,1,1.0000
rrc00,195.16.32.0/19,"49673 3216",1,1,1.0000
rrc00,89.20.96.0/20,"49673 12389",1,1,1.0000
rrc00,5.143.224.0/19,"49673 12389",1,1,1.0000
rrc00,89.204.112.0/20,"49673 12389",1,1,1.0000
rrc00,90.150.176.0/20,"49673 12389",1,1,1.0000
rrc00,90.150.192.0/20,"49673 12389",1,1,1.0000
