asn,name,cc,rir,cone,verdict,has_real_aspa,declared_providers,inferred_upstreams,jaccard_overlap
262144,Rayservers GmbH,PA,lacnic,0,NOT ROUTED,False,,,
1,Unknown,US,arin,0,NOT ROUTED,False,,,
2,University of Delaware,US,arin,2,VULNERABLE,False,,37613,
3,Massachusetts Institute of Technology,US,arin,1,PARTIAL: VULNERABLE (Mixed),False,,7015;11164;174;133296;11537;6939;3356,
4,University of Southern California,US,arin,0,STUB: VULNERABLE,False,,133296;30844;174,
5,WFA Group LLC,US,arin,0,NOT ROUTED,False,,,
262150,Empresa Provincial de Energia de Cordoba,AR,lacnic,14,REGRESSED,False,,7049;3356;7303,
6,"ATOS IT Solutions and Services, Inc.",US,arin,0,STUB: VULNERABLE,False,,37613;3356;22773,
8,Rice University,US,arin,1,PASSIVE (Clean Pipe),False,,2914,
262148,Universidad APEC,DO,lacnic,0,STUB: VULNERABLE,False,,23520;6400,
262146,Datos,HN,lacnic,0,REGRESSED,False,,27884;52468;273189,
262155,Golder Associates S.A.,CL,lacnic,0,NOT ROUTED,False,,,
262156,Universidad Nacional de Rosario,AR,lacnic,0,STUB: VULNERABLE,False,,4270;7303,
262157,Tame Linea Aerea del Ecuador,EC,lacnic,0,NOT ROUTED,False,,,
262158,FUNDACION UNIVERSITARIA DEL ÁREA ANDINA,CO,lacnic,0,STUB: VULNERABLE,False,,262191,
262159,Digital TV CABLE DE EDMUND S.R.L.,BO,lacnic,0,STUB: FORTUITOUS ROV,False,,3356,
262160,UNIVERSIDAD ANTONIO NARINO,CO,lacnic,0,STUB: VULNERABLE,False,,197103,
262161,COTES Ltda.,BO,lacnic,0,STUB: VULNERABLE,False,,27882,
262162,Fatum Holding N.V,CW,lacnic,0,STUB: VULNERABLE,False,,52233,
262154,Comm & Net S.A.,EC,lacnic,0,STUB: VULNERABLE,False,,267699,
262164,NetPro N.V.,CW,lacnic,0,NOT ROUTED,False,,,
393901,"Tyler Technologies, Inc.",US,arin,0,STUB: PASSIVE (Clean Pipe),False,,7018,
262166,Universidad del Valle de Guatemala,GT,lacnic,0,NOT ROUTED,False,,,
262167,Redcol S.A.,CL,lacnic,0,STUB: VULNERABLE,False,,52468;263702,
262168,COLINANET S.A.,PE,lacnic,0,STUB: PASSIVE (Clean Pipe),False,,3356,
262169,SOLINTELSA,EC,lacnic,0,STUB: VULNERABLE,False,,52468,
262170,"Visualhosting.net",AR,lacnic,0,NOT ROUTED,False,,,
262171,Telecom Logistics S.A.,CR,lacnic,0,STUB: VULNERABLE,False,,43298;59796,
22,Navy Network Information Center (NNIC),US,arin,0,STUB: VULNERABLE,False,,668,
262173,"Capital Management & Trust Co. N.V. (CMTC)",XX,,0,NOT ROUTED,False,,,
262174,NEURALSOFT S.R.L.,AR,lacnic,0,STUB: PASSIVE (Clean Pipe),False,,11664;7303,
262175,Telefónica Móviles Argentina S.A. (Movistar Argentina),AR,lacnic,0,STUB: PASSIVE (Clean Pipe),False,,22927,
262176,BANCO EXTERIOR,VE,lacnic,0,STUB: VULNERABLE,False,,6306,
33,HP Inc.,US,arin,3,PASSIVE (Clean Pipe),False,,7018,
262178,Pontificia Universidad Catolica Madre y Maestra (PUCMM),DO,lacnic,0,STUB: VULNERABLE,False,,23520;6400,
262179,Telenetwork de El Salvador,SV,lacnic,0,STUB: VULNERABLE,False,,263812;52468,
273010,"TECNOSYSTEM IO, C.A",VE,lacnic,0,STUB: VULNERABLE,False,,6306;263703,
262181,Coral Telecom N.V.,SX,lacnic,0,STUB: FORTUITOUS ROV,False,,3356,
262182,TELEFONICA GLOBAL SOLUTIONS PERU S.A.C.,PE,lacnic,5,PARTIAL: VULNERABLE (Mixed),False,,19332;12956,
262183,MULTI LINK S.A.,PY,lacnic,0,STUB: VULNERABLE,False,,265864,
262184,GRUPO KONECTIVA LATAM S.A,CR,lacnic,0,STUB: VULNERABLE,False,,52468,
