Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
1,6939,80006,11000,10988
2,3356,73731,6503,6494
3,174,73560,6495,6487
4,6461,71623,2635,2623
5,1299,71086,2629,2615
6,2914,68563,1490,1472
7,3257,68432,1838,1821
8,6453,67382,631,612
9,7018,67122,2313,2300
10,3320,66965,669,649
11,3491,66961,651,630
12,4637,66936,534,516
13,701,66715,1156,1141
14,6762,64955,661,641
15,4809,64883,51,42
16,24482,64668,10157,10138
17,12956,59644,274,255
18,1273,56947,218,197
19,6830,56800,163,142
20,5511,56686,361,340
21,4134,50788,195,177
22,37721,50259,3435,3391
23,4837,48116,124,104
24,9002,46326,2563,2510
25,17639,43286,2065,2009
26,33891,36364,1548,1480
27,48362,35887,1647,1592
28,34549,34653,1525,1465
29,35280,34243,2004,1960
30,34927,34017,1744,1683
31,20485,34017,1859,1802
32,48185,30588,1396,1335
33,29632,30481,1327,1261
34,50673,28443,1330,1265
35,12779,28249,1319,1253
36,34019,27269,1240,1176
37,3216,26727,1520,1467
38,7922,24720,131,112
39,50300,22960,1150,1082
40,20473,20592,1459,1394
41,56662,16975,956,896
42,15830,15000,1164,1089
43,50304,14780,899,830
44,56655,14292,851,778
45,212024,13405,759,687
46,1836,13001,697,603
47,12389,12968,1309,1272
48,20766,12491,793,715
49,20764,9321,835,777
50,49673,9213,836,800
51,8218,9085,883,831
52,3303,8966,705,612
53,7575,8237,729,677
54,208972,8210,730,680
55,38001,7856,639,564
56,9498,6974,997,932
57,1103,6347,475,368
58,8220,6289,1125,1087
59,49559,5817,516,443
60,52468,5643,927,914
61,31500,5245,545,464
62,13030,5181,500,404
63,8359,4789,700,647
64,6696,4759,576,501
65,58057,4502,590,518
66,38255,4183,4102,4101
67,29075,4143,513,435
68,204092,3871,525,469
69,22652,3634,497,442
70,32787,3535,772,702
71,9930,3334,433,311
72,7713,3221,677,612
73,8966,3180,400,286
74,31133,3149,644,594
75,394256,3027,503,462
76,9808,2761,57,55
77,12859,2736,356,250
78,5405,2714,422,336
79,58453,2602,439,359
80,4755,2482,697,676
81,9304,2406,439,323
82,401753,2378,463,424
83,852,2202,409,354
84,42708,2169,339,231
85,16735,1979,550,536
86,14840,1924,567,531
87,1764,1907,397,304
88,7195,1856,305,228
89,52025,1785,351,273
90,53062,1733,470,445
91,64073,1689,452,412
92,50628,1685,396,327
93,20562,1655,464,397
94,9929,1603,23,15
95,14907,1416,272,169
96,57304,1414,453,418
97,201054,1348,420,386
98,29504,1345,299,239
99,58717,1293,540,511
