cc,rir,asn_count,valid_pct_now,total_now,valid_pct_now_v6,total_now_v6,valid_pct_3mo,delta_3mo,valid_pct_3mo_v6,delta_3mo_v6,valid_pct_6mo,delta_6mo,valid_pct_6mo_v6,delta_6mo_v6,valid_pct_12mo,delta_12mo,valid_pct_12mo_v6,delta_12mo_v6,valid_pct_24mo,delta_24mo,valid_pct_24mo_v6,delta_24mo_v6
AD,ripencc,4,98.0,98,93.5,31,95.3,2.7,96.6,-3.1,96.4,1.6,96.4,-2.9,97.5,0.5,97.1,-3.6,98.6,-0.6,84.4,9.1
AE,ripencc,213,83.8,5542,49.7,1961,85.1,-1.3,95.1,-45.4,85.3,-1.5,93.3,-43.6,85.8,-2.0,45.1,4.6,86.3,-2.5,89.9,-40.2
AF,apnic,75,90.0,608,89.5,19,89.4,0.6,87.5,2.0,70.4,19.6,93.3,-3.8,71.9,18.1,83.3,6.2,72.2,17.8,90.0,-0.5
AG,arin,18,22.6,137,76.5,17,21.3,1.3,75.0,1.5,16.9,5.7,66.7,9.8,15.3,7.3,76.5,0.0,17.8,4.8,64.3,12.2
AI,arin,4,9.8,51,80.0,5,7.9,1.9,80.0,0.0,7.7,2.1,80.0,0.0,3.6,6.2,75.0,5.0,9.1,0.7,16.7,63.3
AL,ripencc,131,92.1,946,71.3,324,92.9,-0.8,96.9,-25.6,91.8,0.3,98.6,-27.3,91.1,1.0,98.3,-27.0,88.3,3.8,98.3,-27.0
AM,ripencc,154,93.0,874,85.1,87,92.0,1.0,94.4,-9.3,88.7,4.3,87.5,-2.4,85.7,7.3,92.6,-7.5,83.9,9.1,88.9,-3.8
AO,afrinic,70,48.4,738,83.3,36,48.8,-0.4,76.5,6.8,44.9,3.5,75.9,7.4,56.4,-8.0,78.6,4.7,60.0,-11.6,85.7,-2.4
AQ,arin,2,83.3,12,100.0,15,84.6,-1.3,100.0,0.0,100.0,-16.7,97.1,2.9,100.0,-16.7,100.0,0.0,93.8,-10.5,100.0,0.0
AR,lacnic,1247,82.9,16924,69.2,4259,82.3,0.6,68.9,0.3,81.6,1.3,69.3,-0.1,79.7,3.2,67.5,1.7,78.8,4.1,65.0,4.2
AS,apnic,2,18.7,75,75.0,4,19.7,-1.0,83.3,-8.3,20.0,-1.3,83.3,-8.3,21.1,-2.4,83.3,-8.3,18.6,0.1,88.9,-13.9
AT,ripencc,759,68.8,3688,77.4,933,65.5,3.3,76.9,0.5,62.2,6.6,75.5,1.9,60.2,8.6,75.1,2.3,59.6,9.2,74.7,2.7
AU,apnic,2986,49.4,22281,36.8,5108,36.3,13.1,34.7,2.1,34.7,14.7,41.3,-4.5,36.2,13.2,44.2,-7.4,32.0,17.4,29.5,7.3
AW,lacnic,3,98.5,134,100.0,4,100.0,-1.5,100.0,0.0,98.6,-0.1,100.0,0.0,99.3,-0.8,100.0,0.0,96.3,2.2,100.0,0.0
AX,ripencc,1,89.4,47,80.0,5,89.1,0.3,80.0,0.0,87.8,1.6,100.0,-20.0,84.8,4.6,80.0,0.0,85.1,4.3,66.7,13.3
AZ,ripencc,117,90.5,1248,87.7,73,85.2,5.3,73.8,13.9,85.6,4.9,73.8,13.9,62.6,27.9,70.8,16.9,58.1,32.4,53.7,34.0
BA,ripencc,60,82.3,722,92.1,38,82.9,-0.6,92.3,-0.2,82.4,-0.1,92.5,-0.4,82.0,0.3,90.2,1.9,82.2,0.1,80.6,11.5
BB,arin,10,27.3,311,14.3,21,26.8,0.5,18.2,-3.9,26.8,0.5,18.2,-3.9,21.3,6.0,21.7,-7.4,2.1,25.2,14.3,0.0
BD,apnic,2022,93.4,8870,85.6,4231,94.2,-0.8,86.9,-1.3,90.6,2.8,83.8,1.8,94.6,-1.2,88.0,-2.4,93.8,-0.4,94.3,-8.7
BE,ripencc,381,73.0,2582,82.1,588,71.1,1.9,81.7,0.4,69.1,3.9,80.6,1.5,68.3,4.7,78.3,3.8,56.9,16.1,70.2,11.9
BF,afrinic,30,81.0,659,94.8,116,78.0,3.0,94.1,0.7,73.8,7.2,94.0,0.8,89.1,-8.1,95.6,-0.8,86.1,-5.1,87.0,7.8
BG,ripencc,739,90.4,7877,88.5,756,88.8,1.6,87.6,0.9,88.5,1.9,89.2,-0.7,87.2,3.2,83.5,5.0,82.2,8.2,86.3,2.2
BH,ripencc,25,84.5,1727,99.2,1081,83.3,1.2,99.2,0.0,84.9,-0.4,99.7,-0.5,83.3,1.2,99.6,-0.4,83.9,0.6,99.7,-0.5
BI,afrinic,8,15.0,133,60.0,5,13.8,1.2,75.0,-15.0,11.2,3.8,66.7,-6.7,10.5,4.5,100.0,-40.0,9.3,5.7,100.0,-40.0
BJ,afrinic,16,65.5,200,75.0,12,56.2,9.3,64.7,10.3,55.1,10.4,64.7,10.3,5.8,59.7,53.8,21.2,3.3,62.2,50.0,25.0
BL,arin,4,100.0,8,100.0,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,85.7,14.3,100.0,0.0,75.0,25.0
BM,arin,22,67.4,187,78.3,23,68.8,-1.4,78.3,0.0,66.0,1.4,66.7,11.6,67.9,-0.5,63.6,14.7,24.3,43.1,50.0,28.3
BN,apnic,10,81.1,301,92.3,13,83.1,-2.0,93.8,-1.5,78.4,2.7,92.9,-0.6,83.2,-2.1,100.0,-7.7,80.1,1.0,100.0,-7.7
BO,lacnic,61,97.2,1240,99.1,337,97.0,0.2,99.1,0.0,92.6,4.6,96.7,2.4,92.0,5.2,95.4,3.7,91.9,5.3,84.9,14.2
BQ,lacnic,6,97.2,36,100.0,4,83.8,13.4,100.0,0.0,83.3,13.9,100.0,0.0,79.5,17.7,100.0,0.0,76.5,20.7,100.0,0.0
BR,lacnic,9151,56.0,88180,53.8,36464,50.1,5.9,50.7,3.1,48.1,7.9,50.5,3.3,48.2,7.8,47.2,6.6,42.3,13.7,42.5,11.3
BS,arin,13,26.2,145,5.2,288,26.2,0.0,6.2,-1.0,28.5,-2.3,5.2,0.0,26.1,0.1,5.2,0.0,22.6,3.6,1.1,4.1
BT,apnic,43,100.0,96,72.5,120,97.8,2.2,71.1,1.4,97.8,2.2,97.7,-25.2,97.8,2.2,100.0,-27.5,89.3,10.7,100.0,-27.5
BW,afrinic,33,73.1,305,66.7,18,68.2,4.9,62.5,4.2,56.3,16.8,57.1,9.6,57.4,15.7,57.1,9.6,53.1,20.0,46.2,20.5
BY,ripencc,115,79.0,1320,75.8,124,79.4,-0.4,74.8,1.0,77.9,1.1,75.4,0.4,74.9,4.1,77.4,-1.6,53.3,25.7,55.4,20.4
BZ,lacnic,25,86.2,167,87.3,71,85.5,0.7,85.1,2.2,84.9,1.3,85.7,1.6,81.7,4.5,81.3,6.0,77.5,8.7,86.6,0.7
CA,arin,2520,75.0,41634,73.5,4384,73.8,1.2,72.3,1.2,72.7,2.3,71.2,2.3,52.3,22.7,58.1,15.4,43.2,31.8,58.4,15.1
CD,afrinic,51,56.1,374,25.0,56,36.4,19.7,28.8,-3.8,36.3,19.8,26.8,-1.8,23.2,32.9,17.5,7.5,27.3,28.8,83.9,-58.9
CF,afrinic,4,16.0,25,100.0,3,18.5,-2.5,100.0,0.0,14.8,1.2,100.0,0.0,4.2,11.8,100.0,0.0,7.7,8.3,100.0,0.0
CG,afrinic,13,17.0,135,88.9,9,13.8,3.2,66.7,22.2,12.4,4.6,66.7,22.2,13.6,3.4,69.2,19.7,21.7,-4.7,57.1,31.8
CH,ripencc,1059,69.0,5533,81.5,2412,66.2,2.8,79.2,2.3,63.3,5.7,76.5,5.0,60.9,8.1,16.6,64.9,58.8,10.2,68.9,12.6
CI,afrinic,24,94.1,1346,77.6,85,94.9,-0.8,76.8,0.8,86.2,7.9,78.4,-0.8,69.3,24.8,80.6,-3.0,20.1,74.0,60.6,17.0
CK,apnic,2,100.0,7,100.0,3,95.0,5.0,75.0,25.0,95.0,5.0,75.0,25.0,9.5,90.5,80.0,20.0,2.9,97.1,50.0,50.0
CL,lacnic,400,88.8,6164,64.5,1745,86.9,1.9,64.4,0.1,85.0,3.8,65.7,-1.2,85.6,3.2,64.6,-0.1,66.3,22.5,57.4,7.1
CM,afrinic,29,94.9,712,95.7,23,93.5,1.4,86.7,9.0,35.4,59.5,86.2,9.5,32.1,62.8,93.5,2.2,13.6,81.3,92.3,3.4
CN,apnic,6482,89.4,71717,97.5,39466,81.2,8.2,93.3,4.2,4.3,85.1,13.0,84.5,3.9,85.5,2.1,95.4,2.9,86.5,1.6,95.9
CO,lacnic,520,93.6,11526,85.3,3854,93.5,0.1,85.1,0.2,92.7,0.9,82.7,2.6,92.6,1.0,84.0,1.3,92.5,1.1,68.0,17.3
CR,lacnic,106,96.7,4044,97.5,721,96.5,0.2,97.4,0.1,96.2,0.5,97.0,0.5,96.3,0.4,97.6,-0.1,96.0,0.7,98.6,-1.1
CU,lacnic,4,94.7,76,94.4,18,91.5,3.2,93.3,1.1,93.9,0.8,91.7,2.7,93.8,0.9,91.7,2.7,95.5,-0.8,90.0,4.4
CV,afrinic,8,36.9,65,60.0,5,34.9,2.0,66.7,-6.7,86.4,-49.5,33.3,26.7,84.9,-48.0,66.7,-6.7,80.9,-44.0,50.0,10.0
CW,lacnic,30,90.6,319,96.8,31,91.8,-1.2,96.9,-0.1,91.0,-0.4,96.9,-0.1,90.3,0.3,96.8,0.0,90.6,0.0,96.7,0.1
CY,ripencc,179,64.2,1344,91.6,226,65.4,-1.2,92.5,-0.9,65.1,-0.9,93.0,-1.4,54.7,9.5,87.7,3.9,51.7,12.5,89.2,2.4
CZ,ripencc,714,80.7,3042,75.2,1047,82.4,-1.7,75.8,-0.6,81.5,-0.8,74.1,1.1,77.0,3.7,72.1,3.1,71.4,9.3,65.4,9.8
DE,ripencc,3256,80.0,36467,82.6,8739,80.1,-0.1,81.7,0.9,79.1,0.9,76.5,6.1,78.2,1.8,61.4,21.2,78.4,1.6,78.5,4.1
DJ,afrinic,4,97.3,74,90.9,11,97.2,0.1,91.7,-0.8,5.6,91.7,45.5,45.4,2.9,94.4,50.0,40.9,1.0,96.3,60.0,30.9
DK,ripencc,471,60.8,2383,73.2,493,60.9,-0.1,73.2,0.0,60.6,0.2,70.8,2.4,58.4,2.4,75.7,-2.5,51.8,9.0,64.7,8.5
DM,arin,8,5.6,72,80.0,5,5.3,0.3,83.3,-3.3,5.6,0.0,83.3,-3.3,6.2,-0.6,85.7,-5.7,1.6,4.0,66.7,13.3
DO,lacnic,212,81.7,2713,92.1,1177,74.5,7.2,88.4,3.7,74.2,7.5,87.7,4.4,73.4,8.3,80.1,12.0,62.5,19.2,89.0,3.1
DZ,afrinic,13,16.8,1026,11.1,216,16.9,-0.1,7.8,3.3,17.3,-0.5,7.9,3.2,13.8,3.0,15.0,-3.9,12.0,4.8,14.1,-3.0
EC,lacnic,264,97.2,4226,98.7,3561,97.1,0.1,98.2,0.5,96.0,1.2,98.4,0.3,95.7,1.5,96.6,2.1,95.6,1.6,98.3,0.4
EE,ripencc,238,81.6,922,88.5,226,81.6,0.0,87.4,1.1,80.5,1.1,88.6,-0.1,79.6,2.0,88.4,0.1,74.9,6.7,84.6,3.9
EG,afrinic,86,95.6,11015,99.3,1725,95.4,0.2,99.2,0.1,95.3,0.3,99.2,0.1,7.7,87.9,95.8,3.5,8.0,87.6,93.8,5.5
ER,afrinic,1,37.5,8,100.0,2,37.5,0.0,100.0,0.0,5.0,32.5,100.0,0.0,25.0,12.5,100.0,0.0,20.0,17.5,100.0,0.0
ES,ripencc,1158,85.1,19120,81.0,2909,85.0,0.1,86.1,-5.1,84.0,1.1,92.3,-11.3,56.0,29.1,89.9,-8.9,53.5,31.6,88.9,-7.9
ET,afrinic,8,99.5,552,85.7,7,99.6,-0.1,87.5,-1.8,99.8,-0.3,85.7,0.0,99.6,-0.1,100.0,-14.3,100.0,-0.5,100.0,-14.3
EU,ripencc,404,0.0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,ripencc,365,76.3,2451,80.0,390,75.1,1.2,79.2,0.8,73.1,3.2,77.9,2.1,69.1,7.2,79.3,0.7,61.2,15.1,72.3,7.7
FJ,apnic,20,98.3,174,86.4,22,97.1,1.2,100.0,-13.6,95.2,3.1,100.0,-13.6,94.6,3.7,100.0,-13.6,94.5,3.8,90.0,-3.6
FK,ripencc,2,100.0,4,100.0,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
FM,apnic,6,85.0,20,66.7,6,85.0,0.0,50.0,16.7,85.0,0.0,50.0,16.7,85.0,0.0,57.1,9.6,4.8,80.2,25.0,41.7
FO,ripencc,6,50.0,34,80.0,5,48.5,1.5,80.0,0.0,46.9,3.1,80.0,0.0,46.9,3.1,100.0,-20.0,0.7,49.3,100.0,-20.0
FR,ripencc,1872,76.7,14832,85.7,2741,74.6,2.1,84.1,1.6,75.3,1.4,86.4,-0.7,73.0,3.7,82.6,3.1,66.2,10.5,78.1,7.6
GA,afrinic,11,7.8,102,50.0,8,6.9,0.9,55.6,-5.6,6.1,1.7,55.6,-5.6,5.0,2.8,37.5,12.5,4.5,3.3,50.0,0.0
GB,ripencc,3134,66.6,22861,55.9,6386,65.3,1.3,57.0,-1.1,62.5,4.1,55.8,0.1,60.4,6.2,49.4,6.5,45.4,21.2,62.9,-7.0
GD,arin,11,31.1,74,56.4,39,32.9,-1.8,57.5,-1.1,32.1,-1.0,56.1,0.3,28.9,2.2,57.1,-0.7,31.6,-0.5,60.0,-3.6
GE,ripencc,172,70.6,779,91.0,67,72.1,-1.5,91.2,-0.2,70.3,0.3,89.1,1.9,67.3,3.3,89.1,1.9,65.0,5.6,81.4,9.6
GF,lacnic,5,98.2,56,100.0,10,96.0,2.2,100.0,0.0,96.2,2.0,100.0,0.0,95.6,2.6,100.0,0.0,97.6,0.6,100.0,0.0
GG,ripencc,11,71.0,69,100.0,5,49.3,21.7,80.0,20.0,50.7,20.3,80.0,20.0,49.3,21.7,83.3,16.7,53.7,17.3,83.3,16.7
GH,afrinic,102,59.2,1013,89.5,143,55.8,3.4,89.8,-0.3,52.0,7.2,89.6,-0.1,51.8,7.4,83.1,6.4,43.3,15.9,39.2,50.3
GI,ripencc,25,93.5,153,100.0,8,93.0,0.5,100.0,0.0,90.0,3.5,100.0,0.0,87.7,5.8,100.0,0.0,86.0,7.5,39.2,60.8
GL,ripencc,1,77.1,35,90.9,11,77.8,-0.7,90.9,0.0,80.6,-3.5,83.3,7.6,83.3,-6.2,83.3,7.6,80.6,-3.5,92.3,-1.4
GM,afrinic,11,51.6,122,53.8,13,50.8,0.8,46.2,7.6,48.8,2.8,41.7,12.1,49.1,2.5,41.7,12.1,27.1,24.5,55.6,-1.8
GN,afrinic,16,22.9,96,50.0,8,15.4,7.5,55.6,-5.6,9.2,13.7,57.1,-7.1,7.3,15.6,50.0,0.0,1.3,21.6,40.0,10.0
GP,arin,10,92.3,91,93.8,32,90.5,1.8,90.3,3.5,94.2,-1.9,93.1,0.7,92.5,-0.2,88.9,4.9,91.2,1.1,90.0,3.8
GQ,afrinic,7,52.5,40,100.0,3,51.3,1.2,100.0,0.0,51.3,1.2,100.0,0.0,51.4,1.1,100.0,0.0,50.0,2.5,100.0,0.0
GR,ripencc,262,87.5,2293,96.2,731,87.7,-0.2,96.7,-0.5,86.2,1.3,95.5,0.7,82.8,4.7,94.2,2.0,83.8,3.7,94.2,2.0
GS,ripencc,1,50.0,2,100.0,2,50.0,0.0,100.0,0.0,0.0,50.0,100.0,0.0,0.0,50.0,100.0,0.0,0.0,50.0,100.0,0.0
GT,lacnic,79,82.2,1177,94.5,454,82.9,-0.7,95.5,-1.0,86.0,-3.8,97.1,-2.6,90.4,-8.2,97.2,-2.7,82.1,0.1,94.9,-0.4
GU,apnic,10,79.3,116,100.0,32,73.1,6.2,100.0,0.0,75.0,4.3,100.0,0.0,60.0,19.3,100.0,0.0,60.0,19.3,100.0,0.0
GW,afrinic,2,33.3,9,100.0,3,33.3,0.0,100.0,0.0,40.0,-6.7,100.0,0.0,25.0,8.3,100.0,0.0,14.3,19.0,100.0,0.0
GY,lacnic,6,98.9,93,100.0,52,98.9,0.0,100.0,0.0,93.4,5.5,100.0,0.0,93.0,5.9,96.5,3.5,97.6,1.3,96.2,3.8
HK,apnic,1388,69.3,22592,49.9,3947,62.5,6.8,51.9,-2.0,58.6,10.7,50.1,-0.2,63.5,5.8,56.7,-6.8,58.8,10.5,36.3,13.6
HN,lacnic,109,89.1,992,95.0,181,88.7,0.4,95.5,-0.5,88.5,0.6,95.9,-0.9,87.2,1.9,95.5,-0.5,87.1,2.0,93.3,1.7
HR,ripencc,177,80.2,1115,83.5,91,77.9,2.3,82.8,0.7,77.2,3.0,83.3,0.2,75.5,4.7,81.4,2.1,75.0,5.2,71.4,12.1
HT,lacnic,11,56.3,270,75.0,4,56.1,0.2,80.0,-5.0,56.3,0.0,80.0,-5.0,2.6,53.7,66.7,8.3,5.4,50.9,66.7,8.3
HU,ripencc,299,80.7,1852,73.6,235,80.1,0.6,73.0,0.6,79.7,1.0,71.1,2.5,79.6,1.1,72.5,1.1,75.6,5.1,66.1,7.5
ID,apnic,4004,88.6,24505,56.4,6946,88.1,0.5,55.5,0.9,86.3,2.3,54.0,2.4,85.4,3.2,58.2,-1.8,81.7,6.9,38.6,17.8
IE,ripencc,285,65.1,3071,73.3,1222,66.8,-1.7,71.7,1.6,65.4,-0.3,71.7,1.6,78.5,-13.4,86.6,-13.3,75.3,-10.2,34.8,38.5
IL,ripencc,381,83.5,4825,75.9,777,75.9,7.6,71.7,4.2,83.9,-0.4,75.5,0.4,83.9,-0.4,78.1,-2.2,80.4,3.1,83.0,-7.1
IM,ripencc,26,59.7,211,75.9,29,55.8,3.9,66.7,9.2,54.3,5.4,68.2,7.7,54.1,5.6,66.7,9.2,58.3,1.4,70.6,5.3
IN,apnic,6182,85.9,54606,86.2,21564,84.8,1.1,84.0,2.2,83.5,2.4,79.1,7.1,81.8,4.1,71.3,14.9,76.3,9.6,60.3,25.9
