asn,cc,name,cone,signing_opportunity_log10
6939,US,Hurricane Electric LLC,80006,6.53
3356,US,Lumen (Level 3),73731,6.48
1299,SE,Arelion (fka. Telia Carrier),71086,6.44
174,US,"Cogent Communications, LLC",73560,6.43
3257,US,GTT Communications Inc.,68432,6.41
6461,US,Zayo Bandwidth,71623,6.4
4637,HK,Telstra International Limited,66936,6.38
6762,IT,Telecom Italia Sparkle (Seabone),64955,6.38
2914,US,"NTT America, Inc.",68563,6.37
6453,US,TATA Communications (America) Inc,67382,6.36
3491,HK,PCCW Global (HK) Ltd.,66961,6.35
5511,FR,Orange S.A.,56686,6.34
12956,ES,Telxius (Telefonica Global),59644,6.32
1273,EU,Vodafone Group PLC,56947,6.32
3320,DE,Deutsche Telekom AG,66965,6.31
6830,NL,Liberty Global Europe Holding B.V.,56800,6.31
4134,CN,China Telecom Backbone,50788,6.28
9002,GB,RETN Limited,46326,6.26
701,US,Verizon Business,66715,6.12
4837,CN,China Unicom Backbone,48116,6.11
7713,ID,PT Telkom Indonesia Tbk,3221,5.99
4809,CN,China Telecom Next Generation Carrier Network,64883,5.94
33891,DE,Core-Backbone GmbH,36364,5.86
20485,RU,TransTeleCom JSC,34017,5.86
34927,CH,iFog GmbH,34017,5.84
7922,US,"Comcast Cable Communications, LLC",24720,5.84
3216,RU,Vimpelcom PJSC,26727,5.68
7018,US,"AT&T Enterprises, LLC",67122,5.66
38255,CN,China Education and Research Network (CERNET),4183,5.62
20473,US,"The Constant Company, LLC",20592,5.59
15830,NL,"Equinix, Inc.",15000,5.46
12389,RU,Rostelecom PJSC,12968,5.45
30844,GB,Liquid Intelligent Technologies ,556,5.42
52468,PA,UFINET PANAMA S.A.,5643,5.41
9498,IN,Bharti Airtel Ltd.,6974,5.24
208972,TR,GIBIRNet Iletisim,8210,5.15
3303,CH,Swisscom (Schweiz) AG,8966,5.13
31133,RU,MegaFon PJSC,3149,5.13
7575,AU,Australian Academic and Research Network (AARNet),8237,5.11
8220,GB,COLT,6289,5.11
16735,BR,Algar Telecom,1979,5.08
8218,FR,Zayo Europe,9085,5.07
8359,RU,MTS PJSC,4789,5.05
32787,US,Akamai (Prolexic),3535,4.98
53062,BR,GGNET TELECOMUNICACOES LTDA,1733,4.97
4230,BR,Claro (Embratel),1082,4.96
46887,US,Zayo (fka. Crown Castle),1182,4.95
9929,CN,China Unicom Industrial Internet Backbone,1603,4.94
852,CA,TELUS Communications Inc.,2202,4.93
60068,GB,Datacamp Limited (CDN77 / DataPacket),738,4.93
57304,RU,RETN Russia,1414,4.85
4755,IN,TATA Communications (formerly VSNL),2482,4.84
4766,KR,Korea Telecom,1142,4.84
58057,CH,Securebit AG,4502,4.8
22652,CA,Videotron Ltee,3634,4.77
1031,BR,PEER 1031 LLC,1274,4.75
9049,RU,"JSC ""ER-Telecom Holding""",951,4.71
9318,KR,SK Broadband Co Ltd,560,4.71
13030,CH,Init7 (Switzerland) Ltd.,5181,4.7
52025,GB,ParadoxNetworks Limited,1785,4.68
5405,DE,Inter.link GmbH,2714,4.67
35598,RU,INETCOM CARRIER LLC,893,4.67
3786,KR,LG DACOM Corporation,495,4.66
13786,US,"Seaborn (Seabras USA, LLC)",894,4.63
10429,BR,Vivo (Telefônica Brasil),435,4.63
29075,FR,IELO-LIAZO SERVICES SAS,4143,4.62
61832,BR,Giga+ Empresas,738,4.62
1103,NL,SURF B.V.,6347,4.6
9304,HK,HGC Global Communications Limited,2406,4.57
23764,HK,China Telecom Global,884,4.57
12741,PL,Netia SA,720,4.57
14789,US,"Cloudflare, Inc.",1197,4.56
62255,SI,BiMajLink d.o.o.,690,4.55
209,US,Lumen (ex. Qwest),394,4.55
22773,US,Cox Communications Inc.,527,4.54
4826,AU,Vocus Connect International Backbone,873,4.52
9930,MY,TIME dotCom Bhd,3334,4.48
21859,US,Zenlayer Inc,1282,4.48
61568,BR,ALOO TELECOM - FSF TECNOLOGIA SA,545,4.48
577,CA,Bell Canada,675,4.47
64073,NZ,Vetta Group,1689,4.46
37662,MU,West Indian Ocean Cable Company (WIOCC),502,4.46
267613,BR,ELETRONET S.A.,486,4.45
271253,BR,LINK BRASIL TELECOMUNICACOES LTDA,440,4.45
3549,US,Lumen (fka. Global Crossing),454,4.39
28917,LT,"Fiord Networks, UAB",543,4.38
8447,AT,A1 Telekom Austria AG,1179,4.37
212895,DE,Johannes Ernst,437,4.36
28283,BR,Adyl Telecom,424,4.36
1764,AT,Next Layer Telecommunications,1907,4.35
137409,AU,GSL Networks Pty LTD,970,4.34
50509,RU,Transroute.Net,377,4.32
7029,US,Uniti (fka. Windstream),329,4.32
23520,US,"Columbus Networks USA, Inc.",647,4.3
6327,CA,Shaw Communications,611,4.27
29226,RU,MasterTel,246,4.27
50629,DE,LWLcom GmbH,993,4.26
1257,EU,Tele2 Sverige AB,953,4.26
19551,US,Incapsula Inc,315,4.26
3223,GB,Voxility LLP,744,4.25
1221,AU,Telstra Limited,540,4.25
3326,UA,Datagroup PJSC,419,4.25
33491,US,"Comcast Cable Communications, LLC",277,4.25
54004,US,Cablevision Lightpath LLC,417,4.24
2497,JP,Internet Initiative Japan Inc.,464,4.23
5617,PL,Orange Polska Spolka Akcyjna,383,4.23
22381,BR,SAMM (Megatelecom),292,4.23
5650,US,Verizon (fka. Frontier),248,4.23
812,CA,Rogers Communications Canada Inc.,235,4.23
25091,CH,IP-Max SA,732,4.22
20804,PL,Exatel S.A.,550,4.22
2764,AU,AAPT Limited,344,4.22
10796,US,Charter Communications Inc,246,4.21
11432,BR,Telium Telecomunicações Ltda,240,4.21
28368,BR,Wirelink (Sobralnet),208,4.21
29535,PL,Orange Polska Spolka Akcyjna,425,4.2
42708,SE,Glesys AB,2169,4.19
8732,RU,JSC Comcor,204,4.18
4800,ID,PT Aplikanusa Lintasarta,630,4.17
29076,RU,Citytelecom LLC,316,4.17
52965,BR,1Telecom,290,4.17
4657,SG,StarHub Ltd,195,4.17
50607,PL,Stowarzyszenie e-Poludnie,404,4.16
13536,US,"FirstLight Networks, LLC",212,4.16
12912,PL,T-Mobile Polska S.A.,260,4.15
52925,BR,Ascenty Data Centers e Telecomunicações S/A,180,4.15
17676,JP,SoftBank Corp.,439,4.14
15164,US,Segra (Unite),177,4.13
13649,US,Flexential Colorado Corp.,161,4.13
7474,AU,SingTel Optus Pty Ltd,283,4.12
2516,JP,KDDI Corporation,262,4.12
37282,NG,MainOne Cable Company Nigeria Limited,179,4.12
3255,UA,Ukrainian Academic and Research Network,263,4.11
53087,BR,TELY Ltda.,227,4.11
11164,US,Internet2 I2PX,226,4.11
23106,BR,American Tower Brasil,231,4.1
64126,DO,"DOMINICAN TELECOM PRIME, DTP, S.R.L.",69,4.1
7473,SG,Singapore Telecommunications Ltd,284,4.09
62081,PL,Stowarzyszenie e-Poludnie,279,4.09
198949,IL,Radware,206,4.09
702,US,Verizon Business - EMEA,184,4.09
264409,BR,Huge Networks,288,4.08
28146,BR,MHNET TELECOM,188,4.08
20115,US,Spectrum (Charter),183,4.08
1828,US,PacketFabric / Unitas Global,178,4.08
49915,GB,Megaport (UK) Limited,327,4.07
263009,BR,FORTE TELECOM LTDA.,232,4.07
44324,US,MoeDove LLC,169,4.07
43298,RU,Storm Networks LLC,326,4.06
20001,US,Charter Communications Inc,155,4.06
11427,US,Charter Communications Inc,151,4.06
40264,US,Charter Communications LLC,143,4.06
136106,ID,PT Mega Akses Persada,726,4.05
54994,CA,Meteverse Limited,295,4.05
23005,US,"SWITCH, LTD",140,4.05
12874,IT,Fastweb SpA,229,4.04
8641,RU,"LLC ""Nauka-Svyaz""",197,4.04
265269,BR,MEGA TELE INFORMATICA,184,4.04
201706,RU,SERVICEPIPE LLC,182,4.04
11404,US,Astound (fka. Wave Broadband),167,4.04
34872,BE,Servperso Systems,252,4.03
3269,IT,TIM S.p.A. (fka. Telecom Italia S.p.A.),177,4.03
23947,ID,PT Mora Telematika Indonesia Tbk,504,4.02
13237,DE,euNetworks GmbH,297,4.02
53181,BR,K2 Telecom e Multimidia LTDA ME,221,4.02
262663,BR,METROFLEX TELECOMUNICACOES LTDA,202,4.02
263903,BR,INFORBARRA TELECOM,195,4.02
269194,BR,ST1 INTERNET,171,4.02
21574,BR,Century Telecom Ltda,164,4.02
21949,CA,Beanfield Technologies Inc.,161,4.02
33667,US,"Comcast Cable Communications, LLC",133,4.02
2152,US,CENIC - CalREN,123,4.02
7015,US,"Comcast Cable Communications, LLC",170,4.01
9583,IN,Sify Limited,571,4.0
35297,UA,Dataline LLC,317,4.0
6730,CH,Sunrise GmbH,269,4.0
20940,NL,Akamai International B.V.,267,3.99
32098,US,Flō Networks (Transtelco Inc.),191,3.99
28598,BR,MOB,184,3.99
