asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds,atlas_result,apnic_stdev,apnic_min90,apnic_max90,regression
6939,Hurricane Electric LLC,US,80006,CORE: ACTIVE PROTECTOR,100.0,0,0,,0.4,98.2,99.9,False
3356,Lumen (Level 3),US,73731,CORE: ACTIVE PROTECTOR,97.22,0,0,,1.1,95.1,99.4,False
174,"Cogent Communications, LLC",US,73560,CORE: ACTIVE PROTECTOR,99.19,0,0,,4.8,78.7,96.1,False
6461,Zayo Bandwidth,US,71623,CORE: ACTIVE PROTECTOR,1.66,0,0,,5.9,0.2,24.5,True
1299,Arelion (fka. Telia Carrier),SE,71086,CORE: ACTIVE PROTECTOR,100.0,0,0,,0.0,100.0,100.0,False
2914,"NTT America, Inc.",US,68563,CORE: ACTIVE PROTECTOR,98.04,0,0,,7.9,68.4,98.9,False
3257,GTT Communications Inc.,US,68432,CORE: ACTIVE PROTECTOR,97.22,0,0,,12.3,50.5,99.1,False
6453,TATA Communications (America) Inc,US,67382,CORE: ACTIVE PROTECTOR,-1.0,0,0,,0.0,100.0,100.0,False
7018,"AT&T Enterprises, LLC",US,67122,CORE: ACTIVE PROTECTOR,10.16,0,0,,16.9,6.7,62.0,True
3320,Deutsche Telekom AG,DE,66965,CORE: ACTIVE PROTECTOR,99.51,0,0,,0.1,99.4,99.8,False
3491,PCCW Global (HK) Ltd.,HK,66961,CORE: ACTIVE PROTECTOR,100.0,0,0,,30.3,14.8,100.0,True
4637,Telstra International Limited,HK,66936,CORE: ACTIVE PROTECTOR,100.0,0,0,,34.6,0.0,100.0,False
701,Verizon Business,US,66715,CORE: ACTIVE PROTECTOR,99.37,0,0,,0.2,99.1,99.8,False
6762,Telecom Italia Sparkle (Seabone),IT,64955,CORE: ACTIVE PROTECTOR,-1.0,0,0,,1.9,93.5,100.0,False
4809,China Telecom Next Generation Carrier Network,CN,64883,CORE: ACTIVE PROTECTOR,0.16,0,0,,0.9,0.2,4.7,True
24482,SG.GS,SG,64668,ACTIVE LOCAL ROV,-1.0,0,7,,1.0,96.7,100.0,False
12956,Telxius (Telefonica Global),ES,59644,CORE: ACTIVE PROTECTOR,-1.0,0,0,,4.5,86.9,100.0,False
1273,Vodafone Group PLC,EU,56947,CORE: ACTIVE PROTECTOR,94.41,0,0,,-1.0,-1.0,-1.0,False
6830,Liberty Global Europe Holding B.V.,NL,56800,CORE: ACTIVE PROTECTOR,99.74,0,0,,4.9,79.2,95.5,False
5511,Orange S.A.,FR,56686,CORE: ACTIVE PROTECTOR,100.0,0,0,,2.5,90.3,100.0,False
4134,China Telecom Backbone,CN,50788,CORE: UNPROTECTED,0.15,0,0,,0.5,0.2,2.2,False
37721,Virtual Technologies & Solutions,BF,50259,REGRESSED,0.83,0,15,,5.6,0.0,23.5,True
4837,China Unicom Backbone,CN,48116,CORE: UNPROTECTED,0.36,0,0,,0.5,0.3,2.6,False
9002,RETN Limited,GB,46326,PARTIAL: VULNERABLE (Mixed),-1.0,1,16,,4.4,84.2,100.0,False
17639,Converge ICT Solutions Inc.,PH,43286,REGRESSED,0.38,0,10,,17.8,0.4,67.1,True
33891,Core-Backbone GmbH,DE,36364,PARTIAL: VULNERABLE (Mixed),-1.0,1,10,,2.5,92.5,100.0,False
48362,Stadtwerke Feldkirch,AT,35887,REGRESSED,-1.0,0,3,,7.3,0.0,26.7,True
34549,meerfarbig GmbH & Co. KG,DE,34653,PASSIVE (Clean Pipe),-1.0,0,9,,4.2,0.0,15.6,False
35280,F5 Networks SARL,FR,34243,ACTIVE LOCAL ROV,-1.0,0,9,,-1.0,-1.0,-1.0,False
20485,TransTeleCom JSC,RU,34017,PARTIAL: VULNERABLE (Mixed),-1.0,2,11,,1.2,1.7,6.5,False
34927,iFog GmbH,CH,34017,PASSIVE (Clean Pipe),-1.0,0,7,,2.6,0.0,6.1,False
48185,team.blue NV,BE,30588,PASSIVE (Clean Pipe),-1.0,0,6,,-1.0,-1.0,-1.0,False
29632,Netassist International EOOD,DE,30481,PASSIVE (Clean Pipe),-1.0,0,5,,-1.0,-1.0,-1.0,False
50673,Serverius Holding B.V.,NL,28443,PASSIVE (Clean Pipe),-1.0,0,6,,15.5,0.0,60.5,False
12779,IT.Gate S.p.A.,IT,28249,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,1.1,96.2,100.0,False
34019,Hivane Association,FR,27269,ACTIVE LOCAL ROV,-1.0,0,2,,-1.0,-1.0,-1.0,False
3216,Vimpelcom PJSC,RU,26727,REGRESSED,-1.0,0,9,,20.0,0.0,68.6,True
7922,"Comcast Cable Communications, LLC",US,24720,CORE: ACTIVE PROTECTOR,99.61,0,0,,0.1,99.6,99.9,False
50300,CustodianDC Limited,GB,22960,PASSIVE (Clean Pipe),-1.0,0,6,,0.1,0.0,0.4,False
20473,"The Constant Company, LLC",US,20592,ACTIVE LOCAL ROV,99.77,0,9,,0.9,96.6,99.9,False
56662,Marcin Gondek,PL,16975,PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
15830,"Equinix, Inc.",NL,15000,REGRESSED,0.0,0,9,,9.6,1.8,45.2,True
50304,Blix Solutions AS,NO,14780,ACTIVE LOCAL ROV,12.04,0,3,,6.7,0.0,27.5,False
56655,Gigahost AS,NO,14292,ACTIVE LOCAL ROV,95.31,0,3,,3.9,81.1,98.6,False
212024,Marc Schmitt,FR,13405,PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
1836,green.ch AG,CH,13001,REGRESSED,0.0,1,8,,19.5,0.0,70.6,True
12389,Rostelecom PJSC,RU,12968,PARTIAL: VULNERABLE (Mixed),0.0,2,11,,15.2,0.5,67.4,True
20766,"Association ""Gitoyen""",FR,12491,PASSIVE (Clean Pipe),-1.0,0,3,,5.4,6.7,22.6,False
