Quadrant,ASN,CC,Cone,Percentile,Name
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",4809,CN,64883,60.93830446099991,China Telecom Next Generation Carrier Network
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",34927,CH,34017,61.060244682642136,iFog GmbH
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",8218,FR,9085,69.42305900621116,Zayo Europe
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",208972,TR,8210,65.62144601856376,GIBIRNet Iletisim
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",58057,CH,4502,63.61447674418604,Securebit AG
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",29075,FR,4143,64.0551194539249,IELO-LIAZO SERVICES SAS
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",9930,MY,3334,67.32707659115425,TIME dotCom Bhd
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",50629,DE,993,63.06328600405679,LWLcom GmbH
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",137409,AU,970,76.05980498374866,GSL Networks Pty LTD
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",25091,CH,732,63.427171492204906,IP-Max SA
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",136106,ID,726,83.68474820143885,PT Mega Akses Persada
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",9583,IN,571,81.60796296296296,Sify Limited
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",30844,GB,556,63.38315774882173,Liquid Intelligent Technologies 
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",1221,AU,540,62.79475890985326,Telstra Limited
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",16276,FR,522,83.92884097035041,OVH SAS
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",23947,ID,504,78.37330595482547,PT Mora Telematika Indonesia Tbk
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",9121,TR,483,92.18868312757202,Turk Telekom
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",17676,JP,439,66.93341288782815,SoftBank Corp.
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",138840,ID,436,82.78070539419086,PT Parsaoran Global Datatrans
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",8280,GR,362,84.14436090225564,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",55720,MY,339,81.91142857142857,Gigabit Hosting Sdn Bhd
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",49915,GB,327,64.56516516516517,Megaport (UK) Limited
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",38158,ID,310,87.76136363636364,PT Cyberindo Aditama
"Q1: SECURE PROVIDER, SIGNED CUSTOMERS",7303,AR,295,78.17351351351351,Telecom Argentina S.A.
